2023-02-20 16:06:15,258 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(buildDefaultMergedContextConfiguration:305) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [kr.co.daou.api.ApiApplicationTests], using SpringBootContextLoader
2023-02-20 16:06:15,269 [Test worker] INFO  org.springframework.test.context.support.AbstractContextLoader(generateDefaultLocations:264) - Could not detect default resource locations for test class [kr.co.daou.api.ApiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-02-20 16:06:15,276 [Test worker] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils(detectDefaultConfigurationClasses:83) - Could not detect default configuration classes for test class [kr.co.daou.api.ApiApplicationTests]: ApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-02-20 16:06:15,435 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getOrFindConfigurationClasses:238) - Found @SpringBootConfiguration kr.co.daou.api.ApiApplication for test class kr.co.daou.api.ApiApplicationTests
2023-02-20 16:06:15,544 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getDefaultTestExecutionListenerClassNames:245) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-02-20 16:06:15,561 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getTestExecutionListeners:174) - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@33e01298, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@31e75d13, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@a5b0b86, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4b3c354a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@78fb9a67, org.springframework.test.context.support.DirtiesContextTestExecutionListener@73ff4fae, org.springframework.test.context.event.EventPublishingTestExecutionListener@21aa6d6c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@b968a76, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2f9a01c1, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2611b9a3, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@54227100, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6b5894c8, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1433046b]
2023-02-20 16:06:15,937 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStarting:55) - Starting ApiApplicationTests using Java 1.8.0_271 on daou-kimyc with PID 5492 (started by daou in C:\Users\daou\Desktop\api_tester)
2023-02-20 16:06:15,946 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStartupProfileInfo:664) - No active profile set, falling back to default profiles: default
2023-02-20 16:06:18,699 [Test worker] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping(<init>:53) - Adding welcome page: class path resource [static/index.html]
2023-02-20 16:06:18,884 [Test worker] WARN  org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration(checkTemplateLocationExists:105) - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2023-02-20 16:06:19,306 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStarted:61) - Started ApiApplicationTests in 3.696 seconds (JVM running for 7.721)
